filename,emotion,emotion_id,intensity_level,mode,coverage,n_correct_answers,accuracy
A205_hap_v_3,happiness_joy,33,3,v,7,4,0.5714285714285714
A205_hop_p_2,hope,21,2,p,8,3,0.375
A205_hop_p_3,hope,21,3,p,10,1,0.1
A205_hop_v_2,hope,21,2,v,10,3,0.3
A205_hop_v_3,hope,21,3,v,8,2,0.25
A205_ins_p_2,inspiration,19,2,p,6,0,0.0
A205_ins_p_3,inspiration,19,3,p,9,0,0.0
A205_ins_v_2,inspiration,19,2,v,6,0,0.0
A205_ins_v_3,inspiration,19,3,v,6,2,0.3333333333333333
A205_int_p_2,interest_curiosity,29,2,p,7,5,0.7142857142857143
A205_int_p_3,interest_curiosity,29,3,p,8,5,0.625
A205_int_v_2,interest_curiosity,29,2,v,8,4,0.5
A205_int_v_3,interest_curiosity,29,3,v,7,3,0.42857142857142855
A205_mov_p_2,being_moved,42,2,p,4,0,0.0
A205_mov_p_3,being_moved,42,3,p,6,4,0.6666666666666666
A205_mov_v_2,being_moved,42,2,v,10,3,0.3
A205_mov_v_3,being_moved,42,3,v,7,4,0.5714285714285714
A205_neg_sur_p_2,negative_surprise,11,2,p,8,3,0.375
A205_neg_sur_p_3,negative_surprise,11,3,p,5,2,0.4
A205_neg_sur_v_2,negative_surprise,11,2,v,8,2,0.25
A205_neg_sur_v_3,negative_surprise,11,3,v,7,4,0.5714285714285714
A205_neu_sit1_p,neutral,22,1,p,8,6,0.75
A205_neu_sit1_v,neutral,22,1,v,2,1,0.5
A205_neu_sit2_p,neutral,22,1,p,9,5,0.5555555555555556
A205_neu_sit2_v,neutral,22,1,v,5,1,0.2
A205_neu_sit3_p,neutral,22,1,p,6,1,0.16666666666666666
A205_neu_sit3_v,neutral,22,1,v,6,3,0.5
A205_neu_sit4_p,neutral,22,1,p,5,3,0.6
A205_neu_sit4_v,neutral,22,1,v,7,4,0.5714285714285714
A205_nos_p_2,nostalgia,30,2,p,7,3,0.42857142857142855
A205_nos_p_3,nostalgia,30,3,p,6,3,0.5
A205_nos_v_2,nostalgia,30,2,v,9,5,0.5555555555555556
A205_nos_v_3,nostalgia,30,3,v,8,3,0.375
A205_pea_p_2,peacefulness_serenity,25,2,p,7,2,0.2857142857142857
A205_pea_p_3,peacefulness_serenity,25,3,p,8,2,0.25
A205_pea_v_2,peacefulness_serenity,25,2,v,6,1,0.16666666666666666
A205_pea_v_3,peacefulness_serenity,25,3,v,8,1,0.125
A205_ple_p_2,sensory_pleasure,23,2,p,7,1,0.14285714285714285
A205_ple_p_3,sensory_pleasure,23,3,p,8,2,0.25
A205_ple_v_2,sensory_pleasure,23,2,v,7,0,0.0
A205_ple_v_3,sensory_pleasure,23,3,v,8,3,0.375
A205_pos_sur_p_2,positive_surprise,9,2,p,6,4,0.6666666666666666
A205_pos_sur_p_3,positive_surprise,9,3,p,8,5,0.625
A205_pos_sur_v_2,positive_surprise,9,2,v,8,6,0.75
A205_pos_sur_v_3,positive_surprise,9,3,v,6,5,0.8333333333333334
A205_pri_p_2,pride,41,2,p,8,2,0.25
A205_pri_p_3,pride,41,3,p,9,1,0.1111111111111111
A205_pri_v_2,pride,41,2,v,10,0,0.0
A205_pri_v_3,pride,41,3,v,6,1,0.16666666666666666
A205_reg_p_2,regret,0,2,p,8,1,0.125
A205_reg_p_3,regret,0,3,p,8,0,0.0
A205_reg_v_2,regret,0,2,v,5,1,0.2
A205_reg_v_3,regret,0,3,v,6,2,0.3333333333333333
A205_rej_p_2,rejection,14,2,p,8,1,0.125
A205_rej_p_3,rejection,14,3,p,8,3,0.375
A205_rej_v_2,rejection,14,2,v,9,5,0.5555555555555556
A205_rej_v_3,rejection,14,3,v,8,4,0.5
A205_rel_p_2,relief,38,2,p,6,1,0.16666666666666666
A205_rel_p_3,relief,38,3,p,6,2,0.3333333333333333
A205_rel_v_2,relief,38,2,v,5,5,1.0
A205_rel_v_3,relief,38,3,v,7,5,0.7142857142857143
A205_sad_p_2,sadness,6,2,p,6,3,0.5
A205_sad_p_3,sadness,6,3,p,5,4,0.8
A205_sad_v_2,sadness,6,2,v,9,0,0.0
A205_sad_v_3,sadness,6,3,v,8,2,0.25
A205_sar_p_2,sarcasm,31,2,p,8,6,0.75
A205_sar_p_3,sarcasm,31,3,p,6,4,0.6666666666666666
A205_sar_v_2,sarcasm,31,2,v,7,3,0.42857142857142855
A205_sar_v_3,sarcasm,31,3,v,8,5,0.625
A205_sat_p_2,satisfaction_contentment,16,2,p,9,2,0.2222222222222222
A205_sat_p_3,satisfaction_contentment,16,3,p,8,2,0.25
A205_sat_v_2,satisfaction_contentment,16,2,v,10,1,0.1
A205_sat_v_3,satisfaction_contentment,16,3,v,8,4,0.5
A205_scha_p_2,schadenfreude,15,2,p,10,1,0.1
A205_scha_p_3,schadenfreude,15,3,p,7,2,0.2857142857142857
A205_scha_v_2,schadenfreude,15,2,v,8,5,0.625
A205_scha_v_3,schadenfreude,15,3,v,7,5,0.7142857142857143
A205_sex_p_2,sexual_lust,24,2,p,10,4,0.4
A205_sex_p_3,sexual_lust,24,3,p,9,8,0.8888888888888888
A205_sex_v_2,sexual_lust,24,2,v,8,6,0.75
A205_sex_v_3,sexual_lust,24,3,v,9,6,0.6666666666666666
A205_sha_p_2,shame,43,2,p,8,2,0.25
A205_sha_p_3,shame,43,3,p,8,2,0.25
A205_sha_v_2,shame,43,2,v,9,3,0.3333333333333333
A205_sha_v_3,shame,43,3,v,7,1,0.14285714285714285
A205_ten_p_2,tenderness,28,2,p,7,3,0.42857142857142855
A205_ten_p_3,tenderness,28,3,p,9,7,0.7777777777777778
A205_ten_v_2,tenderness,28,2,v,7,5,0.7142857142857143
A205_ten_v_3,tenderness,28,3,v,9,7,0.7777777777777778
A205_tri_p_2,triumph_achievement,20,2,p,8,2,0.25
A205_tri_p_3,triumph_achievement,20,3,p,10,4,0.4
A205_tri_v_2,triumph_achievement,20,2,v,8,1,0.125
A205_tri_v_3,triumph_achievement,20,3,v,7,5,0.7142857142857143
A207_adm_p_2,admiration,5,2,p,6,0,0.0
A207_adm_p_3,admiration,5,3,p,8,0,0.0
A207_adm_v_2,admiration,5,2,v,9,4,0.4444444444444444
A207_adm_v_3,admiration,5,3,v,9,0,0.0
A207_amu_p_2,amusement,13,2,p,10,5,0.5
A207_amu_p_3,amusement,13,3,p,8,5,0.625
A207_amu_v_2,amusement,13,2,v,9,6,0.6666666666666666
A207_amu_v_3,amusement,13,3,v,7,6,0.8571428571428571
A207_ang_p_2,anger,12,2,p,7,6,0.8571428571428571
A207_ang_p_3,anger,12,3,p,7,6,0.8571428571428571
A207_ang_v_2,anger,12,2,v,9,7,0.7777777777777778
A207_ang_v_3,anger,12,3,v,6,6,1.0
A207_anx_p_2,anxiety,34,2,p,7,3,0.42857142857142855
A207_anx_p_3,anxiety,34,3,p,8,3,0.375
A207_anx_v_2,anxiety,34,2,v,7,3,0.42857142857142855
A207_anx_v_3,anxiety,34,3,v,8,5,0.625
A207_awe_p_2,awe,18,2,p,5,0,0.0
A207_awe_p_3,awe,18,3,p,6,1,0.16666666666666666
A207_awe_v_2,awe,18,2,v,8,2,0.25
A207_awe_v_3,awe,18,3,v,8,1,0.125
A207_bor_p_2,boredom,26,2,p,9,0,0.0
A207_bor_p_3,boredom,26,3,p,7,4,0.5714285714285714
A207_bor_v_2,boredom,26,2,v,4,0,0.0
A207_bor_v_3,boredom,26,3,v,6,4,0.6666666666666666
A207_conc_p_2,concentration,27,2,p,6,3,0.5
A207_conc_p_3,concentration,27,3,p,7,7,1.0
A207_conc_v_2,concentration,27,2,v,7,4,0.5714285714285714
A207_conc_v_3,concentration,27,3,v,7,6,0.8571428571428571
A207_conf_p_2,confusion,1,2,p,7,2,0.2857142857142857
A207_conf_p_3,confusion,1,3,p,6,3,0.5
A207_conf_v_2,confusion,1,2,v,8,3,0.375
A207_conf_v_3,confusion,1,3,v,8,3,0.375
A207_cont_p_2,contempt,32,2,p,7,5,0.7142857142857143
A207_cont_p_3,contempt,32,3,p,7,1,0.14285714285714285
A207_cont_v_2,contempt,32,2,v,6,1,0.16666666666666666
A207_cont_v_3,contempt,32,3,v,9,6,0.6666666666666666
A207_det_p_2,determination,2,2,p,9,3,0.3333333333333333
A207_det_p_3,determination,2,3,p,7,6,0.8571428571428571
A207_det_v_2,determination,2,2,v,7,2,0.2857142857142857
A207_det_v_3,determination,2,3,v,7,5,0.7142857142857143
A207_disa_p_2,disappointment,37,2,p,5,1,0.2
A207_disa_p_3,disappointment,37,3,p,6,2,0.3333333333333333
A207_disa_v_2,disappointment,37,2,v,8,6,0.75
A207_disa_v_3,disappointment,37,3,v,7,4,0.5714285714285714
A207_disg_p_2,disgust,35,2,p,8,2,0.25
A207_disg_p_3,disgust,35,3,p,5,2,0.4
A207_disg_v_2,disgust,35,2,v,8,7,0.875
A207_disg_v_3,disgust,35,3,v,9,7,0.7777777777777778
A207_dist_p_2,distress_pain,17,2,p,10,5,0.5
A207_dist_p_3,distress_pain,17,3,p,8,1,0.125
A207_dist_v_2,distress_pain,17,2,v,6,2,0.3333333333333333
A207_dist_v_3,distress_pain,17,3,v,3,1,0.3333333333333333
A207_dou_p_2,doubt,3,2,p,9,4,0.4444444444444444
A207_dou_p_3,doubt,3,3,p,6,1,0.16666666666666666
A207_dou_v_2,doubt,3,2,v,7,5,0.7142857142857143
A207_dou_v_3,doubt,3,3,v,4,4,1.0
A207_ele_p_2,elevation_rejoicing,8,2,p,7,1,0.14285714285714285
A207_ele_p_3,elevation_rejoicing,8,3,p,9,0,0.0
A207_ele_v_2,elevation_rejoicing,8,2,v,6,0,0.0
A207_ele_v_3,elevation_rejoicing,8,3,v,8,1,0.125
A207_emb_p_2,embarrassment,39,2,p,8,1,0.125
A207_emb_p_3,embarrassment,39,3,p,11,5,0.45454545454545453
A207_emb_v_2,embarrassment,39,2,v,7,2,0.2857142857142857
A207_emb_v_3,embarrassment,39,3,v,8,2,0.25
A207_env_p_2,envy,4,2,p,6,2,0.3333333333333333
A207_env_p_3,envy,4,3,p,9,2,0.2222222222222222
A207_env_v_2,envy,4,2,v,8,1,0.125
A207_env_v_3,envy,4,3,v,7,1,0.14285714285714285
A207_exc_p_2,excitement_expectation,36,2,p,5,1,0.2
A207_exc_p_3,excitement_expectation,36,3,p,11,3,0.2727272727272727
A207_exc_v_2,excitement_expectation,36,2,v,4,0,0.0
A207_exc_v_3,excitement_expectation,36,3,v,6,0,0.0
A207_fea_p_2,fear,10,2,p,6,0,0.0
A207_fea_p_3,fear,10,3,p,7,3,0.42857142857142855
A207_fea_v_2,fear,10,2,v,9,5,0.5555555555555556
A207_fea_v_3,fear,10,3,v,8,8,1.0
A207_gra_p_2,gratitude,7,2,p,8,2,0.25
A207_gra_p_3,gratitude,7,3,p,6,2,0.3333333333333333
A207_gra_v_2,gratitude,7,2,v,6,0,0.0
A207_gra_v_3,gratitude,7,3,v,7,1,0.14285714285714285
A207_gui_p_2,guilt,40,2,p,5,0,0.0
A207_gui_p_3,guilt,40,3,p,8,3,0.375
A207_gui_v_2,guilt,40,2,v,5,0,0.0
A207_gui_v_3,guilt,40,3,v,6,0,0.0
A207_hap_p_2,happiness_joy,33,2,p,9,1,0.1111111111111111
A207_hap_p_3,happiness_joy,33,3,p,7,1,0.14285714285714285
A207_hap_v_2,happiness_joy,33,2,v,5,0,0.0
A207_hap_v_3,happiness_joy,33,3,v,4,0,0.0
A207_hop_p_2,hope,21,2,p,8,3,0.375
A207_hop_p_3,hope,21,3,p,8,1,0.125
A207_hop_v_2,hope,21,2,v,9,3,0.3333333333333333
A207_hop_v_3,hope,21,3,v,7,0,0.0
A207_ins_p_2,inspiration,19,2,p,6,2,0.3333333333333333
A207_ins_p_3,inspiration,19,3,p,9,3,0.3333333333333333
A207_ins_v_2,inspiration,19,2,v,7,2,0.2857142857142857
A207_ins_v_3,inspiration,19,3,v,10,2,0.2
A207_int_p_2,interest_curiosity,29,2,p,6,4,0.6666666666666666
A207_int_p_3,interest_curiosity,29,3,p,5,2,0.4
A207_int_v_2,interest_curiosity,29,2,v,6,2,0.3333333333333333
A207_int_v_3,interest_curiosity,29,3,v,6,1,0.16666666666666666
A207_mov_p_2,being_moved,42,2,p,7,2,0.2857142857142857
A207_mov_p_3,being_moved,42,3,p,8,1,0.125
A207_mov_v_2,being_moved,42,2,v,8,3,0.375
A207_mov_v_3,being_moved,42,3,v,5,2,0.4
A207_neg_sur_p_2,negative_surprise,11,2,p,7,3,0.42857142857142855
A207_neg_sur_p_3,negative_surprise,11,3,p,7,0,0.0
A207_neg_sur_v_2,negative_surprise,11,2,v,6,0,0.0
A207_neg_sur_v_3,negative_surprise,11,3,v,6,0,0.0
A207_neu_sit1_p,neutral,22,1,p,5,2,0.4
A207_neu_sit1_v,neutral,22,1,v,7,3,0.42857142857142855
A207_neu_sit2_p,neutral,22,1,p,6,6,1.0
A207_neu_sit2_v,neutral,22,1,v,10,3,0.3
A207_neu_sit3_p,neutral,22,1,p,6,5,0.8333333333333334
A207_neu_sit3_v,neutral,22,1,v,5,0,0.0
A207_neu_sit4_p,neutral,22,1,p,12,8,0.6666666666666666
A207_neu_sit4_v,neutral,22,1,v,9,4,0.4444444444444444
A207_nos_p_2,nostalgia,30,2,p,8,2,0.25
A207_nos_p_3,nostalgia,30,3,p,8,7,0.875
A207_nos_v_2,nostalgia,30,2,v,6,1,0.16666666666666666
A207_nos_v_3,nostalgia,30,3,v,9,2,0.2222222222222222
A207_pea_p_2,peacefulness_serenity,25,2,p,2,0,0.0
A207_pea_p_3,peacefulness_serenity,25,3,p,5,3,0.6
A207_pea_v_2,peacefulness_serenity,25,2,v,6,4,0.6666666666666666
A207_pea_v_3,peacefulness_serenity,25,3,v,8,4,0.5
A207_ple_p_2,sensory_pleasure,23,2,p,9,0,0.0
A207_ple_p_3,sensory_pleasure,23,3,p,7,4,0.5714285714285714
A207_ple_v_2,sensory_pleasure,23,2,v,7,4,0.5714285714285714
A207_ple_v_3,sensory_pleasure,23,3,v,6,1,0.16666666666666666
A207_pos_sur_p_2,positive_surprise,9,2,p,6,2,0.3333333333333333
A207_pos_sur_p_3,positive_surprise,9,3,p,8,5,0.625
A207_pos_sur_v_2,positive_surprise,9,2,v,5,2,0.4
A207_pos_sur_v_3,positive_surprise,9,3,v,8,6,0.75
A207_pri_p_2,pride,41,2,p,9,2,0.2222222222222222
A207_pri_p_3,pride,41,3,p,4,2,0.5
A207_pri_v_2,pride,41,2,v,6,1,0.16666666666666666
A207_pri_v_3,pride,41,3,v,5,0,0.0
A207_reg_p_2,regret,0,2,p,6,0,0.0
A207_reg_p_3,regret,0,3,p,11,1,0.09090909090909091
A207_reg_v_2,regret,0,2,v,8,0,0.0
A207_reg_v_3,regret,0,3,v,6,3,0.5
A207_rej_p_2,rejection,14,2,p,9,1,0.1111111111111111
A207_rej_p_3,rejection,14,3,p,4,1,0.25
A207_rej_v_2,rejection,14,2,v,7,1,0.14285714285714285
A207_rej_v_3,rejection,14,3,v,8,1,0.125
A207_rel_p_2,relief,38,2,p,9,1,0.1111111111111111
A207_rel_p_3,relief,38,3,p,4,1,0.25
A207_rel_v_2,relief,38,2,v,7,5,0.7142857142857143
A207_rel_v_3,relief,38,3,v,4,2,0.5
A207_sad_p_2,sadness,6,2,p,8,4,0.5
A207_sad_p_3,sadness,6,3,p,8,4,0.5
A207_sad_v_2,sadness,6,2,v,7,0,0.0
A207_sad_v_3,sadness,6,3,v,8,7,0.875
A207_sar_p_2,sarcasm,31,2,p,8,3,0.375
A207_sar_p_3,sarcasm,31,3,p,8,3,0.375
A207_sar_v_2,sarcasm,31,2,v,9,4,0.4444444444444444
A207_sar_v_3,sarcasm,31,3,v,7,2,0.2857142857142857
A207_sat_p_2,satisfaction_contentment,16,2,p,8,4,0.5
A207_sat_p_3,satisfaction_contentment,16,3,p,8,2,0.25
A207_sat_v_2,satisfaction_contentment,16,2,v,10,1,0.1
A207_sat_v_3,satisfaction_contentment,16,3,v,9,7,0.7777777777777778
A207_scha_p_2,schadenfreude,15,2,p,5,4,0.8
A207_scha_p_3,schadenfreude,15,3,p,10,7,0.7
A207_scha_v_2,schadenfreude,15,2,v,7,3,0.42857142857142855
A207_scha_v_3,schadenfreude,15,3,v,9,6,0.6666666666666666
A207_sex_p_2,sexual_lust,24,2,p,8,3,0.375
A207_sex_p_3,sexual_lust,24,3,p,9,0,0.0
A207_sex_v_2,sexual_lust,24,2,v,9,1,0.1111111111111111
A207_sex_v_3,sexual_lust,24,3,v,8,4,0.5
A207_sha_p_2,shame,43,2,p,7,0,0.0
A207_sha_p_3,shame,43,3,p,6,1,0.16666666666666666
A207_sha_v_2,shame,43,2,v,8,1,0.125
A207_sha_v_3,shame,43,3,v,7,1,0.14285714285714285
A207_ten_p_2,tenderness,28,2,p,7,1,0.14285714285714285
A207_ten_p_3,tenderness,28,3,p,6,1,0.16666666666666666
A207_ten_v_2,tenderness,28,2,v,7,2,0.2857142857142857
A207_ten_v_3,tenderness,28,3,v,6,1,0.16666666666666666
A207_tri_p_2,triumph_achievement,20,2,p,5,1,0.2
A207_tri_p_3,triumph_achievement,20,3,p,8,2,0.25
A207_tri_v_2,triumph_achievement,20,2,v,7,0,0.0
A207_tri_v_3,triumph_achievement,20,3,v,6,0,0.0
A220_adm_p_2,admiration,5,2,p,6,2,0.3333333333333333
A220_adm_p_3,admiration,5,3,p,9,1,0.1111111111111111
A220_adm_v_2,admiration,5,2,v,5,2,0.4
A220_adm_v_3,admiration,5,3,v,4,3,0.75
A220_amu_p_2,amusement,13,2,p,6,5,0.8333333333333334
A220_amu_p_3,amusement,13,3,p,4,4,1.0
A220_amu_v_2,amusement,13,2,v,7,3,0.42857142857142855
A220_amu_v_3,amusement,13,3,v,9,6,0.6666666666666666
A220_ang_p_2,anger,12,2,p,5,4,0.8
A220_ang_p_3,anger,12,3,p,5,5,1.0
A220_ang_v_2,anger,12,2,v,8,2,0.25
A220_ang_v_3,anger,12,3,v,6,5,0.8333333333333334
A220_anx_p_2,anxiety,34,2,p,7,0,0.0
A220_anx_p_3,anxiety,34,3,p,8,1,0.125
A220_anx_v_2,anxiety,34,2,v,8,1,0.125
A220_anx_v_3,anxiety,34,3,v,5,2,0.4
A220_awe_p_2,awe,18,2,p,8,0,0.0
A220_awe_p_3,awe,18,3,p,7,0,0.0
A220_awe_v_2,awe,18,2,v,7,0,0.0
A220_awe_v_3,awe,18,3,v,7,0,0.0
A220_bor_p_2,boredom,26,2,p,7,2,0.2857142857142857
A220_bor_p_3,boredom,26,3,p,6,1,0.16666666666666666
A220_bor_v_2,boredom,26,2,v,4,1,0.25
A220_bor_v_3,boredom,26,3,v,6,4,0.6666666666666666
A220_conc_p_2,concentration,27,2,p,8,4,0.5
A220_conc_p_3,concentration,27,3,p,9,4,0.4444444444444444
A220_conc_v_2,concentration,27,2,v,5,4,0.8
A220_conc_v_3,concentration,27,3,v,5,4,0.8
A220_conf_p_2,confusion,1,2,p,3,3,1.0
A220_conf_p_3,confusion,1,3,p,8,3,0.375
A220_conf_v_2,confusion,1,2,v,8,7,0.875
A220_conf_v_3,confusion,1,3,v,8,3,0.375
A220_cont_p_2,contempt,32,2,p,7,4,0.5714285714285714
A220_cont_p_3,contempt,32,3,p,10,10,1.0
A220_cont_v_2,contempt,32,2,v,6,2,0.3333333333333333
A220_cont_v_3,contempt,32,3,v,7,1,0.14285714285714285
A220_det_p_2,determination,2,2,p,6,5,0.8333333333333334
A220_det_p_3,determination,2,3,p,5,1,0.2
A220_det_v_2,determination,2,2,v,8,2,0.25
A220_det_v_3,determination,2,3,v,7,7,1.0
A220_disa_p_2,disappointment,37,2,p,8,3,0.375
A220_disa_p_3,disappointment,37,3,p,10,0,0.0
A220_disa_v_2,disappointment,37,2,v,9,7,0.7777777777777778
A220_disa_v_3,disappointment,37,3,v,8,4,0.5
A220_disg_p_2,disgust,35,2,p,9,7,0.7777777777777778
A220_disg_p_3,disgust,35,3,p,8,4,0.5
A220_disg_v_2,disgust,35,2,v,7,6,0.8571428571428571
A220_disg_v_3,disgust,35,3,v,9,3,0.3333333333333333
A220_dist_p_2,distress_pain,17,2,p,10,1,0.1
A220_dist_p_3,distress_pain,17,3,p,7,0,0.0
A220_dist_v_2,distress_pain,17,2,v,9,0,0.0
A220_dist_v_3,distress_pain,17,3,v,6,1,0.16666666666666666
A220_dou_p_2,doubt,3,2,p,6,1,0.16666666666666666
A220_dou_p_3,doubt,3,3,p,7,0,0.0
A220_dou_v_2,doubt,3,2,v,4,1,0.25
A220_dou_v_3,doubt,3,3,v,10,3,0.3
A220_ele_p_2,elevation_rejoicing,8,2,p,8,0,0.0
A220_ele_p_3,elevation_rejoicing,8,3,p,8,2,0.25
A220_ele_v_2,elevation_rejoicing,8,2,v,7,1,0.14285714285714285
A220_ele_v_3,elevation_rejoicing,8,3,v,6,0,0.0
A220_emb_p_2,embarrassment,39,2,p,8,1,0.125
A220_emb_p_3,embarrassment,39,3,p,7,0,0.0
A220_emb_v_2,embarrassment,39,2,v,9,1,0.1111111111111111
A220_emb_v_3,embarrassment,39,3,v,6,2,0.3333333333333333
A220_env_p_2,envy,4,2,p,10,1,0.1
A220_env_p_3,envy,4,3,p,9,1,0.1111111111111111
A220_env_v_2,envy,4,2,v,7,0,0.0
A220_env_v_3,envy,4,3,v,8,1,0.125
A220_exc_p_2,excitement_expectation,36,2,p,5,2,0.4
A220_exc_p_3,excitement_expectation,36,3,p,10,4,0.4
A220_exc_v_2,excitement_expectation,36,2,v,2,1,0.5
A220_exc_v_3,excitement_expectation,36,3,v,8,3,0.375
A220_fea_p_2,fear,10,2,p,8,5,0.625
A220_fea_p_3,fear,10,3,p,10,9,0.9
A220_fea_v_2,fear,10,2,v,5,4,0.8
A220_fea_v_3,fear,10,3,v,8,3,0.375
A220_gra_p_2,gratitude,7,2,p,9,4,0.4444444444444444
A220_gra_p_3,gratitude,7,3,p,7,1,0.14285714285714285
A220_gra_v_2,gratitude,7,2,v,6,1,0.16666666666666666
A220_gra_v_3,gratitude,7,3,v,8,2,0.25
A220_gui_p_2,guilt,40,2,p,5,0,0.0
A220_gui_p_3,guilt,40,3,p,8,1,0.125
A220_gui_v_2,guilt,40,2,v,5,0,0.0
A220_gui_v_3,guilt,40,3,v,6,2,0.3333333333333333
A220_hap_p_2,happiness_joy,33,2,p,8,4,0.5
A220_hap_p_3,happiness_joy,33,3,p,6,2,0.3333333333333333
A220_hap_v_2,happiness_joy,33,2,v,9,4,0.4444444444444444
A220_hap_v_3,happiness_joy,33,3,v,8,5,0.625
A220_hop_p_2,hope,21,2,p,8,4,0.5
A220_hop_p_3,hope,21,3,p,10,2,0.2
A220_hop_v_2,hope,21,2,v,10,0,0.0
A220_hop_v_3,hope,21,3,v,5,2,0.4
A220_ins_p_2,inspiration,19,2,p,5,0,0.0
A220_ins_p_3,inspiration,19,3,p,8,0,0.0
A220_ins_v_2,inspiration,19,2,v,8,6,0.75
A220_ins_v_3,inspiration,19,3,v,6,2,0.3333333333333333
A220_int_p_2,interest_curiosity,29,2,p,7,4,0.5714285714285714
A220_int_p_3,interest_curiosity,29,3,p,10,2,0.2
A220_int_v_2,interest_curiosity,29,2,v,7,2,0.2857142857142857
A220_int_v_3,interest_curiosity,29,3,v,9,3,0.3333333333333333
A220_mov_p_2,being_moved,42,2,p,8,1,0.125
A220_mov_p_3,being_moved,42,3,p,8,1,0.125
A220_mov_v_2,being_moved,42,2,v,8,2,0.25
A220_mov_v_3,being_moved,42,3,v,9,4,0.4444444444444444
A220_neg_sur_p_2,negative_surprise,11,2,p,8,3,0.375
A220_neg_sur_p_3,negative_surprise,11,3,p,8,4,0.5
A220_neg_sur_v_2,negative_surprise,11,2,v,6,2,0.3333333333333333
A220_neg_sur_v_3,negative_surprise,11,3,v,6,2,0.3333333333333333
A220_neu_sit1_p,neutral,22,1,p,5,4,0.8
A220_neu_sit1_v,neutral,22,1,v,8,5,0.625
A220_neu_sit2_p,neutral,22,1,p,10,7,0.7
A220_neu_sit2_v,neutral,22,1,v,3,3,1.0
A220_neu_sit3_p,neutral,22,1,p,6,6,1.0
A220_neu_sit3_v,neutral,22,1,v,3,3,1.0
A220_neu_sit4_p,neutral,22,1,p,7,5,0.7142857142857143
A220_neu_sit4_v,neutral,22,1,v,8,4,0.5
A220_nos_p_2,nostalgia,30,2,p,7,3,0.42857142857142855
A220_nos_p_3,nostalgia,30,3,p,11,8,0.7272727272727273
A220_nos_v_2,nostalgia,30,2,v,9,7,0.7777777777777778
A220_nos_v_3,nostalgia,30,3,v,9,7,0.7777777777777778
A220_pea_p_2,peacefulness_serenity,25,2,p,6,3,0.5
A220_pea_p_3,peacefulness_serenity,25,3,p,6,3,0.5
A220_pea_v_2,peacefulness_serenity,25,2,v,5,3,0.6
A220_pea_v_3,peacefulness_serenity,25,3,v,6,3,0.5
A220_ple_p_2,sensory_pleasure,23,2,p,9,2,0.2222222222222222
A220_ple_p_3,sensory_pleasure,23,3,p,8,1,0.125
A220_ple_v_2,sensory_pleasure,23,2,v,8,2,0.25
A220_ple_v_3,sensory_pleasure,23,3,v,9,2,0.2222222222222222
A220_pos_sur_p_2,positive_surprise,9,2,p,7,2,0.2857142857142857
A220_pos_sur_p_3,positive_surprise,9,3,p,6,1,0.16666666666666666
A220_pos_sur_v_2,positive_surprise,9,2,v,8,6,0.75
A220_pos_sur_v_3,positive_surprise,9,3,v,8,4,0.5
A220_pri_p_2,pride,41,2,p,3,2,0.6666666666666666
A220_pri_p_3,pride,41,3,p,7,5,0.7142857142857143
A220_pri_v_2,pride,41,2,v,6,0,0.0
A220_pri_v_3,pride,41,3,v,5,1,0.2
A220_reg_p_2,regret,0,2,p,8,0,0.0
A220_reg_p_3,regret,0,3,p,7,2,0.2857142857142857
A220_reg_v_2,regret,0,2,v,9,0,0.0
A220_reg_v_3,regret,0,3,v,8,0,0.0
A220_rej_p_2,rejection,14,2,p,6,0,0.0
A220_rej_p_3,rejection,14,3,p,9,1,0.1111111111111111
A220_rej_v_2,rejection,14,2,v,9,1,0.1111111111111111
A220_rej_v_3,rejection,14,3,v,9,1,0.1111111111111111
A220_rel_p_2,relief,38,2,p,7,4,0.5714285714285714
A220_rel_p_3,relief,38,3,p,5,1,0.2
A220_rel_v_2,relief,38,2,v,6,3,0.5
A220_rel_v_3,relief,38,3,v,6,5,0.8333333333333334
A220_sad_p_2,sadness,6,2,p,6,0,0.0
A220_sad_p_3,sadness,6,3,p,7,4,0.5714285714285714
A220_sad_v_2,sadness,6,2,v,7,1,0.14285714285714285
A220_sad_v_3,sadness,6,3,v,6,3,0.5
A220_sar_p_2,sarcasm,31,2,p,7,2,0.2857142857142857
A220_sar_p_3,sarcasm,31,3,p,8,3,0.375
A220_sar_v_2,sarcasm,31,2,v,6,1,0.16666666666666666
A220_sar_v_3,sarcasm,31,3,v,7,3,0.42857142857142855
A220_sat_p_2,satisfaction_contentment,16,2,p,8,1,0.125
A220_sat_p_3,satisfaction_contentment,16,3,p,7,3,0.42857142857142855
A220_sat_v_2,satisfaction_contentment,16,2,v,8,2,0.25
A220_sat_v_3,satisfaction_contentment,16,3,v,7,2,0.2857142857142857
A220_scha_p_2,schadenfreude,15,2,p,8,4,0.5
A220_scha_p_3,schadenfreude,15,3,p,8,6,0.75
A220_scha_v_2,schadenfreude,15,2,v,8,6,0.75
A220_scha_v_3,schadenfreude,15,3,v,7,6,0.8571428571428571
A220_sex_p_2,sexual_lust,24,2,p,7,3,0.42857142857142855
A220_sex_p_3,sexual_lust,24,3,p,9,6,0.6666666666666666
A220_sex_v_2,sexual_lust,24,2,v,8,3,0.375
A220_sex_v_3,sexual_lust,24,3,v,8,2,0.25
